date,traffic_source,ad_spend
2025-09-16,Referral,68
2025-09-16,Direct,195
2025-09-17,SEO,150
2025-09-17,Google Ads,66
2025-09-17,Referral,79
2025-09-17,Direct,44
2025-09-18,SEO,154
2025-09-18,Google Ads,96
2025-09-18,Referral,140
2025-09-18,Direct,186
2025-09-19,SEO,62
2025-09-19,Google Ads,65
2025-09-19,Referral,62
2025-09-19,Direct,48
2025-09-20,SEO,102
2025-09-20,Google Ads,122
2025-09-20,Referral,105
2025-09-20,Direct,118
2025-09-21,SEO,174
2025-09-21,Google Ads,101
2025-09-21,Referral,131
2025-09-21,Direct,22
2025-09-22,SEO,75
2025-09-22,Google Ads,130
2025-09-22,Referral,83
2025-09-22,Direct,40
2025-09-23,SEO,43
2025-09-23,Google Ads,167
2025-09-23,Referral,71
2025-09-23,Direct,32
2025-09-24,SEO,190
2025-09-24,Google Ads,113
2025-09-24,Referral,97
2025-09-24,Direct,184
2025-09-25,SEO,121
2025-09-25,Google Ads,49
2025-09-25,Referral,34
2025-09-25,Direct,172
2025-09-26,SEO,185
2025-09-26,Google Ads,62
2025-09-26,Referral,177
2025-09-26,Direct,59
2025-09-27,SEO,170
2025-09-27,Google Ads,63
2025-09-27,Referral,100
2025-09-27,Direct,20
2025-09-28,SEO,122
2025-09-28,Google Ads,144
2025-09-28,Referral,101
2025-09-28,Direct,60
2025-09-29,SEO,81
2025-09-29,Google Ads,157
2025-09-29,Referral,127
2025-09-29,Direct,92
2025-09-30,SEO,97
2025-09-30,Google Ads,76
2025-09-30,Referral,140
2025-09-30,Direct,61
2025-10-01,SEO,104
2025-10-01,Google Ads,189
2025-10-01,Referral,85
2025-10-01,Direct,89
2025-10-02,SEO,158
2025-10-02,Google Ads,30
2025-10-02,Referral,23
2025-10-02,Direct,98
2025-10-03,SEO,142
2025-10-03,Google Ads,98
2025-10-03,Referral,196
2025-10-03,Direct,169
2025-10-04,SEO,184
2025-10-04,Google Ads,157
2025-10-04,Referral,39
2025-10-04,Direct,115
2025-10-05,SEO,92
2025-10-05,Google Ads,197
2025-10-05,Referral,178
2025-10-05,Direct,63
2025-10-06,SEO,50
2025-10-06,Google Ads,94
2025-10-06,Referral,60
2025-10-06,Direct,23
2025-10-07,SEO,133
2025-10-07,Google Ads,33
2025-10-07,Referral,193
2025-10-07,Direct,73
2025-10-08,SEO,111
2025-10-08,Google Ads,147
2025-10-08,Referral,108
2025-10-08,Direct,106
2025-10-09,SEO,52
2025-10-09,Google Ads,177
2025-10-09,Referral,156
2025-10-09,Direct,185
2025-10-10,SEO,108
2025-10-10,Google Ads,101
2025-10-10,Referral,62
2025-10-10,Direct,154
2025-10-11,SEO,107
2025-10-11,Google Ads,59
2025-10-11,Referral,104
2025-10-11,Direct,138
2025-10-12,SEO,81
2025-10-12,Google Ads,54
2025-10-12,Referral,190
2025-10-12,Direct,30
2025-10-13,SEO,149
2025-10-13,Google Ads,98
2025-10-13,Referral,98
2025-10-13,Direct,152
2025-10-14,SEO,135
2025-10-14,Google Ads,187
2025-10-14,Referral,65
2025-10-14,Direct,40
2025-10-15,SEO,156
2025-10-15,Google Ads,90
2025-10-15,Referral,174
2025-10-15,Direct,36
2025-10-16,SEO,85
2025-10-16,Google Ads,45
2025-10-16,Referral,128
2025-10-16,Direct,192
2025-10-17,SEO,59
2025-10-17,Google Ads,35
2025-10-17,Referral,179
2025-10-17,Direct,54
2025-10-18,SEO,83
2025-10-18,Google Ads,162
2025-10-18,Referral,189
2025-10-18,Direct,140
2025-10-19,SEO,197
2025-10-19,Google Ads,179
2025-10-19,Referral,49
2025-10-19,Direct,171
2025-10-20,SEO,168
2025-10-20,Google Ads,189
2025-10-20,Referral,99
2025-10-20,Direct,119
2025-10-21,SEO,21
2025-10-21,Google Ads,35
2025-10-21,Referral,26
2025-10-21,Direct,162
2025-10-22,SEO,42
2025-10-22,Google Ads,20
2025-10-22,Referral,135
2025-10-22,Direct,88
2025-10-23,SEO,160
2025-10-23,Google Ads,173
2025-10-23,Referral,71
2025-10-23,Direct,160
2025-10-24,SEO,115
2025-10-24,Google Ads,74
2025-10-24,Referral,48
2025-10-24,Direct,165
2025-10-25,SEO,149
2025-10-25,Google Ads,46
2025-10-25,Referral,69
2025-10-25,Direct,61
2025-10-26,SEO,157
2025-10-26,Google Ads,28
2025-10-26,Referral,22
2025-10-26,Direct,105
2025-10-27,SEO,57
2025-10-27,Google Ads,89
2025-10-27,Referral,88
2025-10-27,Direct,177
2025-10-28,SEO,33
2025-10-28,Google Ads,21
2025-10-28,Referral,116
2025-10-28,Direct,120
2025-10-29,SEO,155
2025-10-29,Google Ads,93
2025-10-29,Referral,145
2025-10-29,Direct,102
2025-10-30,SEO,118
2025-10-30,Google Ads,37
2025-10-30,Referral,160
2025-10-30,Direct,65
2025-10-31,SEO,159
2025-10-31,Google Ads,59
2025-10-31,Referral,107
2025-10-31,Direct,185
2025-11-01,SEO,159
2025-11-01,Google Ads,86
2025-11-01,Referral,44
2025-11-01,Direct,182
2025-11-02,SEO,163
2025-11-02,Google Ads,131
2025-11-02,Referral,64
2025-11-02,Direct,160
2025-11-03,SEO,171
2025-11-03,Google Ads,21
2025-11-03,Referral,129
2025-11-03,Direct,157
2025-11-04,SEO,38
2025-11-04,Google Ads,43
2025-11-04,Referral,152
2025-11-04,Direct,99
2025-11-05,SEO,120
2025-11-05,Google Ads,181
2025-11-05,Referral,121
2025-11-05,Direct,83
2025-11-06,SEO,31
2025-11-06,Google Ads,142
2025-11-06,Referral,128
2025-11-06,Direct,128
2025-11-07,SEO,168
2025-11-07,Google Ads,115
2025-11-07,Referral,134
2025-11-07,Direct,66
2025-11-08,SEO,72
2025-11-08,Google Ads,118
2025-11-08,Referral,92
2025-11-08,Direct,186
2025-11-09,SEO,178
2025-11-09,Google Ads,97
2025-11-09,Referral,193
2025-11-09,Direct,125
2025-11-10,SEO,184
2025-11-10,Google Ads,174
2025-11-10,Referral,176
2025-11-10,Direct,132
2025-11-11,SEO,165
2025-11-11,Google Ads,151
2025-11-11,Referral,103
2025-11-11,Direct,20
2025-11-12,SEO,43
2025-11-12,Google Ads,61
2025-11-12,Referral,130
2025-11-12,Direct,43
2025-11-13,SEO,75
2025-11-13,Google Ads,88
2025-11-13,Referral,37
2025-11-13,Direct,157
2025-11-14,SEO,164
2025-11-14,Google Ads,77
2025-11-14,Referral,182
2025-11-14,Direct,151
2025-11-15,SEO,191
2025-11-15,Google Ads,143
2025-11-15,Referral,94
2025-11-15,Direct,47
2025-11-16,SEO,158
2025-11-16,Google Ads,22
2025-11-16,Referral,119
2025-11-16,Direct,22
2025-11-17,SEO,44
2025-11-17,Google Ads,95
2025-11-17,Referral,31
2025-11-17,Direct,196
2025-11-18,SEO,72
2025-11-18,Google Ads,115
2025-11-18,Referral,29
2025-11-18,Direct,131
2025-11-19,SEO,166
2025-11-19,Google Ads,66
2025-11-19,Referral,26
2025-11-19,Direct,107
2025-11-20,SEO,186
2025-11-20,Google Ads,51
2025-11-20,Referral,42
2025-11-20,Direct,69
2025-11-21,SEO,166
2025-11-21,Google Ads,137
2025-11-21,Referral,44
2025-11-21,Direct,172
2025-11-22,SEO,25
2025-11-22,Google Ads,116
2025-11-22,Referral,162
2025-11-22,Direct,167
2025-11-23,SEO,190
2025-11-23,Google Ads,115
2025-11-23,Referral,23
2025-11-23,Direct,25
2025-11-24,SEO,78
2025-11-24,Google Ads,71
2025-11-24,Referral,38
2025-11-24,Direct,141
2025-11-25,SEO,45
2025-11-25,Google Ads,67
2025-11-25,Referral,108
2025-11-25,Direct,57
2025-11-26,SEO,103
2025-11-26,Google Ads,152
2025-11-26,Referral,189
2025-11-26,Direct,127
2025-11-27,SEO,182
2025-11-27,Google Ads,22
2025-11-27,Referral,60
2025-11-27,Direct,179
2025-11-28,SEO,55
2025-11-28,Google Ads,49
2025-11-28,Referral,135
2025-11-28,Direct,132
2025-11-29,SEO,186
2025-11-29,Google Ads,112
2025-11-29,Referral,128
2025-11-29,Direct,108
2025-11-30,SEO,137
2025-11-30,Google Ads,45
2025-11-30,Referral,152
2025-11-30,Direct,180
2025-12-01,SEO,124
2025-12-01,Google Ads,156
2025-12-01,Referral,51
2025-12-01,Direct,96
2025-12-02,SEO,126
2025-12-02,Google Ads,175
2025-12-02,Referral,170
2025-12-02,Direct,107
2025-12-03,SEO,144
2025-12-03,Google Ads,129
2025-12-03,Referral,81
2025-12-03,Direct,67
2025-12-04,SEO,85
2025-12-04,Google Ads,130
2025-12-04,Referral,88
2025-12-04,Direct,93
2025-12-05,SEO,135
2025-12-05,Google Ads,183
2025-12-05,Referral,55
2025-12-05,Direct,26
2025-12-06,SEO,179
2025-12-06,Google Ads,148
2025-12-06,Referral,77
2025-12-06,Direct,39
2025-12-07,SEO,181
2025-12-07,Google Ads,70
2025-12-07,Referral,183
2025-12-07,Direct,173
2025-12-08,SEO,180
2025-12-08,Google Ads,20
2025-12-08,Referral,86
2025-12-08,Direct,69
2025-12-09,SEO,54
2025-12-09,Google Ads,182
2025-12-09,Referral,78
2025-12-09,Direct,96
2025-12-10,SEO,116
2025-12-10,Google Ads,32
2025-12-10,Referral,41
2025-12-10,Direct,75
2025-12-11,SEO,152
2025-12-11,Google Ads,100
2025-12-11,Referral,190
2025-12-11,Direct,34
2025-12-12,SEO,128
2025-12-12,Google Ads,61
2025-12-12,Referral,156
2025-12-12,Direct,143
2025-12-13,SEO,90
2025-12-13,Google Ads,157
2025-12-13,Referral,188
2025-12-13,Direct,160
2025-12-14,SEO,163
2025-12-14,Google Ads,91
2025-12-14,Referral,79
2025-12-14,Direct,50
2025-12-15,SEO,74
2025-12-15,Google Ads,181
2025-12-15,Referral,151
2025-12-15,Direct,121
2025-12-16,SEO,109
2025-12-16,Google Ads,125
2025-12-16,Referral,78
2025-12-16,Direct,60
2025-12-17,SEO,194
2025-12-17,Google Ads,46
2025-12-17,Referral,98
2025-12-17,Direct,168
2025-12-18,SEO,131
2025-12-18,Google Ads,110
2025-12-18,Referral,132
2025-12-18,Direct,158
2025-12-19,SEO,106
2025-12-19,Google Ads,133
2025-12-19,Referral,41
2025-12-19,Direct,42
2025-12-20,SEO,84
2025-12-20,Google Ads,78
2025-12-20,Referral,108
2025-12-20,Direct,133
2025-12-21,SEO,132
2025-12-21,Google Ads,47
2025-12-21,Referral,172
2025-12-21,Direct,20
2025-12-22,SEO,179
2025-12-22,Google Ads,48
2025-12-22,Referral,167
2025-12-22,Direct,65
2025-12-23,SEO,96
2025-12-23,Google Ads,159
2025-12-23,Referral,186
2025-12-23,Direct,155
2025-12-24,SEO,175
2025-12-24,Google Ads,178
2025-12-24,Referral,162
2025-12-24,Direct,58
2025-12-25,SEO,121
2025-12-25,Google Ads,99
2025-12-25,Referral,168
2025-12-25,Direct,129
2025-12-26,SEO,27
2025-12-26,Google Ads,61
2025-12-26,Referral,98
2025-12-26,Direct,97
2025-12-27,SEO,167
2025-12-27,Google Ads,115
2025-12-27,Referral,80
2025-12-27,Direct,158
2025-12-28,SEO,51
2025-12-28,Google Ads,151
2025-12-28,Referral,176
2025-12-28,Direct,152
2025-12-29,SEO,95
2025-12-29,Google Ads,58
2025-12-29,Referral,42
2025-12-29,Direct,163
2025-12-30,SEO,69
2025-12-30,Google Ads,158
2025-12-30,Referral,91
2025-12-30,Direct,67
2025-12-31,SEO,53
2025-12-31,Google Ads,168
2025-12-31,Referral,82
2025-12-31,Direct,121
2026-01-01,SEO,36
2026-01-01,Google Ads,53
2026-01-01,Referral,198
2026-01-01,Direct,124
